Arabic Lemma,Arabic Definition,English Lemma or Gap,English Definition
طبق قدرة,"هو طبق رئيسي من الأطباق العربية الشعبية، من المطبخ الشامي والعراقي، ويتكون من اللحم أو الدجاج والأرز والخضار المطبوخة في قدر واحد.",GAP,
طبق صينية بطاطا,"هو طبق رئيسي من الأطباق العربية الشعبية، من المطبخ الشامي والعراقي، ويتكون من البطاطا المسلوقة أو المقلية مع الخضار في صينية فرن.",GAP,
طبق صينية لحم عجل,"هو طبق رئيسي من الأطباق العربية الشعبية، من المطبخ الشامي والعراقي، ويتكون من لحم العجل المشوي مع الخضار في صينية فرن.",GAP,
طبق صينية دجاج,"هو طبق رئيسي من الأطباق العربية الشعبية، من المطبخ الشامي والعراقي، ويتكون من الدجاج المشوي مع الخضار في صينية فرن.",GAP,
طبق صينية لحم خاروف,"هو طبق رئيسي من الأطباق العربية الشعبية، من المطبخ الشامي والعراقي، ويتكون من لحم الخروف المشوي مع الخضار في صينية فرن.",GAP,
مندة,"هو طبق رئيسي من الأطباق العربية الشعبية، من المطبخ السوري والأردني، ويتكون من الأرز مع اللبن واللحم أو الدجاج.",GAP,
حافظ,  ما يضاف من مادة كيميائية إلى الطعام ليمنع أو يعوق فساده أو انحلاله,GAP,
مخلوطة,طعام يتخذ من لحم وبقول وغير ذلك,GAP,
طعام صلف, لا طعم له ولا فائدة فيه,GAP,
معسول,خلوط بالعسل أو محلى به (شراب أو طعام معسول),GAP,
عصفر,"هو نوع من التوابل المصنوع من بتلات زهرة العصفر. يحتوي العصفر على طعم حلو ورائحة مميزة. يستخدم العصفر في مجموعة متنوعة من الأطباق، مثل الأرز والشوربات واليخنات والحلويات.",Safflower,"thistle-like plant with bright yellow, orange, or red flowers. It’s grown mainly for its seeds, which are used to produce oil. Safflower oil is used in cooking, cosmetics, and sometimes as a substitute for other vegetable oils."
جرجير,"نبات عشبي حولي من الفصيلة الصليبية أملس قليل الزغب، ينبت في المناطق المعتدلة، تؤكل أوراقه وفي طعمه حرافة ويؤكل مشهيا، كما تحتوي أوراقه على بعض الفيتامينات وهو أيضا منبه، ويدر البول","Arugula, Eruca vesicaria","a leafy green vegetable with a slightly peppery, mustard-like flavor. It's often used in salads, sandwiches, and as a garnish."
خس,"نبات عشبي حولي من عائلة النجمية. يتميز بأوراقه الخضراء السميكة والمجوفة، والتي لها نكهة خفيفة ومنعشة. الخس هو واحد من الخضروات الورقية الأكثر شعبية في العالم، وعادة ما يتم تناوله نيئا في السلطات.",lettuce, leaves of any of various plants of Lactuca sativa 
حب رشاد, نبات عشبي حولي من عائلة الصليبية يعرف أيضا باسم الثفاء أو الفصفصة. يتميز بأوراقه الخضراء الصغيرة وبذوره السوداء الصغيرة.,garden_cress, cress cultivated for salads and garnishes 
عوينة,"نوع من الخضار الورقية، وهو من الفصيلة الصليبية. يتميز عوينة بأوراقه الخضراء الصغيرة، وطعمه المر. يستخدم عوينة في العديد من الأطباق العربية، مثل السلطات والشوربات واليخنات.",GAP,
أوراق خس,"الجزء الذي يؤكل من نبات الخس. وهي أوراق خضراء، رقيقة، وذات نكهة خفيفة ومنعشة.",GAP,
خس قلبي,"نوع من الخس، يعرف أيضا باسم ""رأس الزبدة"" أو ""الأوروك"". وهو نبات عشبي حولي من عائلة النجمية، يتميز بأوراقه الخضراء السميكة والمجوفة، والتي تتجمع في شكل قلب. هو أحد الخضروات الورقية الأكثر شعبية في العالم، وعادة ما يتم تناوله نيئا في السلطات.",butterhead_lettuce, lettuce with relatively soft leaves in a loose head; easily broken or bruised 
سبانخ,"نبات عشبي حولي ينتمي إلى عائلة القطيفية. وهو من الخضروات الورقية الشائعة جدا في جميع أنحاء العالم. يتميز السبانخ بأوراقه الخضراء الداكنة، والتي تحتوي على العديد من العناصر الغذائية الهامة.",spinach, dark green leaves; eaten cooked or raw in salads 
برعم,شطء جنيني ينمو عادة عند إبط الورقة أو العقد الساقية. يمكن للبرعم أن يعطي ساقا (من البرعم الخضري) أو زهرة (من البرعم الزهري).,sprout, a newly grown bud (especially from a germinating seed) 
برعم برسيم,"البرعم الذي ينمو في نبات البرسيم. البرسيم هو نبات عشبي حولي من الفصيلة البقولية، ويتميز بأوراقه الثلاثية الشكل، وزهوره البيضاء أو الصفراء.",alfalfa_sprout, sprouted alfalfa seeds 
حلاوة,"كل ما عولج بسكر أو عسل، ضد المرارة",GAP,
حلاوة مكسرات,"وهي نوع من الحلاوة التي تحتوي على المكسرات، مثل اللوز والفستق الحلبي والكاجو.",GAP,
حلاوة طحينية,حلوى يدخل في صنعها زيت السمسم,GAP,
حلاوة سلامة,"حلوان السلامة، وهي وليمة يقدمها الرجل لأصدقائه حين يعود سالما من السفر أو حين يبرأ من مرض إلى غير ذلك",GAP,
حلاوة جوزية,حلوى بيضاء معجونة بالجوز.,GAP,
حلاوة مولد,"أنواع مختلفة من الحلوى تشيع عند الاحتفال بالمولد النبوي الشريف، أو موالد الأولياء الصالحين- ",GAP,
حلوى سوس,نوع من الحلويات مصنوعة من عرق السوس,GAP,
حلوى عجمية,خلاصة العسل مع عصير العنب المغلي المكثف,GAP,
حمض لبني," حمض اللبنيك، يوجد في اللبن الرائب، وعصير الفواكه، وقد يحضر صناعيا فيعمل مكسبا للطعم أو الرائحة في الأطعمة والمشروبات",GAP,
حامض أو حمض ليمون,"حمض عضوي ضعيف، يعرف أيضا باسم حمض الستريك. وهو موجود بشكل طبيعي في العديد من الفواكه، مثل الليمون والجريب فروت والبرتقال. كما أنه يستخدم بشكل شائع كإضافة غذائية في العديد من الأطعمة والمشروبات، مثل المشروبات الغازية والحلويات والصلصات.",sour_salt, crystals of citric acid used as seasoning 
حنطة,"القمح والبر، وهو جنس من النباتات ذوات الحب تزرع، وهي من فصيلة النجيليات وتشتمل على أهم الأنواع النباتية الغذائية",GAP,
