English lemmas,English Definition,Arabic  lemmas or Gap,Arabic Definition
black_pepper, pepper that is ground from whole peppercorns with husks on ,فلفل أسود,"هو نوع من التوابل المصنوع من ثمار نبات الفلفل الأسود. يحتوي الفلفل الأسود على طعم حار ورائحة مميزة. يستخدم الفلفل الأسود في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والسندويشات."
white_pepper, pepper ground from husked peppercorns ,فلفل أبيض,بهار مصنوع من بذور الفلفل الأسود بعد إزالة قشرتها الخارجية
peppermint_oil, oil from the peppermint plant used as flavoring ,GAP,
poppy_seed, small grey seed of a poppy flower; used whole or ground in baked items ,GAP,
saffron, dried pungent stigmas of the Old World saffron crocus ,زعفران," هو نوع من التوابل المصنوع من مياسم زهرة الزعفران. يحتوي الزعفران على طعم حلو ورائحة مميزة. يستخدم الزعفران في مجموعة متنوعة من الأطباق، مثل الأرز والشوربات واليخنات والحلويات."
"salt, table_salt, common_salt", white crystalline form of especially sodium chloride used to season and preserve food ,ملح,"كلوريد الصوديوم يستخرج من ماء البحر بعد ترقيده وتبخيره في الملاحات، ويمكن استخراجه من طبقات الأرض الملحية، وهو عبارة عن مادة صلبة متبلورة بيضاء اللون، تستخدم في تطييب الطعام وتتبيله "
sassafras, dried root bark of the sassafras tree ,GAP,
seasoned_salt, combination of salt and vegetable extracts and spices and monosodium glutamate ,GAP,
"sesame_seed, benniseed", small oval seeds of the sesame plant ,سمسم," هو نبات عشبي ينتمي إلى الفصيلة البقولية. يحتوي السمسم على طعم غني ورائحة مميزة. يستخدم السمسم في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والحلويات."
spice, any of a variety of pungent aromatic vegetable substances used for flavoring food ,بهار," هو خليط من التوابل المختلفة. يمكن أن يكون البهار حارا أو غير حار. يستخدم البهار في مجموعة متنوعة من الأطباق، مثل اللحوم والأسماك والخضروات."
spearmint_oil, an aromatic oil obtained from the spearmint plant ,GAP,
allspice, ground dried berrylike fruit of a West Indian allspice tree; suggesting combined flavors of cinnamon and nutmeg and cloves ,GAP,
"chinese_anise, star_anise, star_aniseed", anise-scented star-shaped fruit or seed used in Asian cooking and medicine ,يانسون نجمي," هو نوع من التوابل المصنوع من ثمار نبات الشمر النجمي. يحتوي اليانسون النجمي على طعم حلو ورائحة مميزة. يستخدم اليانسون النجمي في مجموعة متنوعة من الأطباق، مثل الأرز والشوربات واليخنات والحلويات."
stick_cinnamon, dried rolled strips of cinnamon bark ,عود قرفة,"هو قطعة من لحاء شجرة القرفة. يحتوي عود القرفة على طعم حلو ورائحة مميزة. يستخدم عود القرفة في مجموعة متنوعة من الأطباق، مثل الحلويات والمشروبات والصلصات."
clove, spice from dried unopened flower bud of the clove tree; used whole or ground ,قرنفل,"هو نوع من التوابل المصنوع من براعم زهرة القرنفل. يحتوي القرنفل على طعم حار ورائحة مميزة. يستخدم القرنفل في مجموعة متنوعة من الأطباق، مثل الحلويات والمشروبات والصلصات."
five_spice_powder, Chinese seasoning made by grinding star anise and fennel and pepper and cloves and cinnamon ,خلطة بهارات,"هي مزيج من التوابل التي يتم استخدامها لإضافة نكهة للطعام. يمكن أن تحتوي خلطة البهارات على مجموعة متنوعة من التوابل، بما في ذلك الفلفل الأسود والكركم والكزبرة والقرفة."
"ginger, powdered_ginger", dried ground gingerroot ,زنجبيل,"نبات عشبي من الفصيلة الزنجبارية هندي الأصل، لونه أخضر مائل إلى الصفرة له عروق تسري في الأرض، وهو من التوابل المهضمة، وله أنواع عديدة منها البرية والطبية والزراعية"
mace, spice made from the dried fleshy covering of the nutmeg seed ,GAP,
nutmeg, hard aromatic seed of the nutmeg tree used as spice when grated or ground ,جوزة طيب,"ثمر تنتجه شجرة جوزة الطيب التي مهدها البلاد الاستوائية، يستخدم كتابل للطعام"
"sweetening, sweetener", something added to foods to make them taste sweeter ,GAP,
"sugar, refined_sugar", a white crystalline carbohydrate used as a sweetener and preservative ,سكر,"مادة حلوة تستخرج غالبا من عصير القصب أو البنجر، وتستعمل لتحلية بعض أنواع الطعام والشراب"
beet_sugar, sugar from sugar beets used as sweetening agent ,شمندر سكري,"نوع من الشمندر يزرع بشكل رئيسي لإنتاج السكر. وهو نبات ثنائي الحول، وينتج جذرا ضخما يحتوي على نسبة عالية من السكروز."
crabapple_jelly, a tart apple jelly made from crab apples ,GAP,
grape_jelly, jelly made from grape juice ,مربى عنب,"نوع من المربى المصنوع من العنب، وهو نوع من الفاكهة يتميز بلونه الأحمر أو الأسود أو الأخضر."
"lemon_curd, lemon_cheese", a conserve with a thick consistency; made with lemons and butter and eggs and sugar ,GAP,
"maraschino, maraschino_cherry", cherry preserved in true or imitation maraschino liqueur ,GAP,
orange_marmalade, marmalade made from oranges ,مربى البرتقال,"مربى البرتقال هو نوع من المربى يُصنع من البرتقال، حيث تُغلى قطع البرتقال (أو قشر البرتقال) مع السكر والماء حتى يصبح الخليط سميكًا وحلو المذاق."
marmalade, a preserve made of the pulp and rind of citrus fruits ,GAP,
nonpareil,colored beads of sugar used as a topping on e.g. candies and cookies,GAP,
sweetmeat, a sweetened delicacy (as a preserve or pastry) ,حلويات,"هي أطباق حلوة المذاق. تصنع الحلويات من مجموعة متنوعة من المكونات، مثل السكر والدقيق والبيض والزبدة والحليب والكريمة والفواكه والمكسرات."
dish, a particular item of prepared food ,طبق,"هو وعاء يستخدم لتقديم الطعام أو المشروبات. تصنع الأطباق من مجموعة متنوعة من المواد، مثل الخزف أو الزجاج أو السيراميك أو المعدن."
adobo, a dish of marinated vegetables and meat or fish; served with rice ,طبق دجاج والأرز,هو طبق تقليدي يتكون من الدجاج والأرز الذي تم طهيه معا. يتميز طبق الدجاج والأرز بطعمه اللذيذ ورائحته الشهية.
"applesauce, apple_sauce", puree of stewed apples usually sweetened and spiced ,مربى تفاح,أحد أنواع المربى المصنوعة من التفاح. يصنع مربى التفاح عن طريق غلي التفاح المفروم أو المقطع مع السكر حتى يصبح كثيفا. يمكن إضافة التوابل أو النكهات الأخرى إلى مربى التفاح حسب الرغبة.
bacon_and_eggs, eggs (fried or scrambled) served with bacon ,GAP,
"barbecue, barbeque", meat that has been barbecued or grilled in a highly seasoned sauce ,حفلة شواء,"هي تجمع اجتماعي يتم فيه طهي الطعام على الشواية. يمكن أن تكون حفلات الشواء كبيرة أو صغيرة، ويمكن أن تعقد في الهواء الطلق أو في الأماكن المغلقة."
"barbecued_spareribs, spareribs", baked or roasted with a spicy sauce ,GAP,
barbecued_wing, chicken wings cooked in barbecue sauce ,أجنحة دجاج مقرمشة,هي أجنحة دجاج تم قليها حتى تصبح مقرمشة. تتميز أجنحة الدجاج المقرمشة بطعمها اللذيذ ورائحته الشهية.
beef_stroganoff, sauteed strips of beef and mushrooms in sour cream sauce served with noodles ,GAP,
"beef_bourguignonne, boeuf_bourguignonne", beef and mushrooms and onions stewed in red wine and seasonings ,GAP,
"beef_wellington, filet_de_boeuf_en_croute", rare-roasted beef tenderloin coated with mushroom paste in puff pastry ,GAP,
"biryani, biriani", an Indian dish made with highly seasoned rice and meat or fish or vegetables ,برياني,هي طبق عربي شهير يتكون من لحم الضأن أو الدجاج أو اللحم البقري الذي تم طهيه مع الأرز والبهارات. تتميز البريانة بطعمها اللذيذ ورائحته الشهية.
